TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1760918400,2025-10-20,0,108701.79,108701.79,108111.1,107486.38,1701.62,183722296.64
1760922000,2025-10-20,1,108111.1,108332.9,108117.67,107967.38,1006.15,108787398.76
1760925600,2025-10-20,2,108117.67,109005.36,108831.33,107918.82,968.28,105032622.14
1760929200,2025-10-20,3,108831.33,110461.99,110192.73,108619.19,1612.49,176557125.29
1760932800,2025-10-20,4,110192.73,110561.75,110470.63,109999.8,1403.58,154773038.96
1760936400,2025-10-20,5,110470.63,111152.05,111066.23,110344.08,1181.59,130828767.06
1760940000,2025-10-20,6,111066.23,111413.34,111346.95,111043.78,1146.91,127563658.79
1760943600,2025-10-20,7,111346.95,111456.62,111236.63,111114.54,714.65,79538776.83
1760947200,2025-10-20,8,111236.63,111689.86,111144.06,111010.26,803.49,89415459.84
1760950800,2025-10-20,9,111144.06,111234.37,111014.28,110749.05,865.55,96023762.68
1760954400,2025-10-20,10,111014.28,111149.35,110793.78,110722.47,685.83,76105517.89
1760958000,2025-10-20,11,110793.78,111076.33,111061.4,110678.84,435.23,48246616.11
1760961600,2025-10-20,12,111061.4,111245.27,110883.64,110820.07,971.0,107800006.0
1760965200,2025-10-20,13,110883.64,111240.43,111198.34,110636.59,2308.9,256000027.38
1760968800,2025-10-20,14,111198.34,111408.43,111255.61,110760.95,1552.21,172504934.17
1760972400,2025-10-20,15,111255.61,111743.25,111189.68,111064.24,1379.66,153708367.12
1760976000,2025-10-20,16,111189.68,111358.32,110731.11,110175.91,2538.19,281357988.17
1760979600,2025-10-20,17,110731.11,111116.56,110332.73,109900.02,1556.62,171935670.34
1760983200,2025-10-20,18,110332.73,111000.09,110965.61,110265.81,1123.28,124217487.36
1760986800,2025-10-20,19,110965.61,111102.46,110858.88,110589.07,958.68,106282359.05
1760990400,2025-10-20,20,110858.88,111326.33,111124.17,110703.28,1011.44,112285163.63
1760994000,2025-10-20,21,111124.17,111295.38,110602.66,110515.67,538.16,59712872.88
1760997600,2025-10-20,22,110602.66,110918.69,110853.08,110463.73,421.19,46642396.08
1761001200,2025-10-20,23,110853.08,110853.23,110825.69,110825.69,2.713,300802.88
