TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1749859200,2025-06-14,0,106121.08,106260.08,105862.66,105764.07,735.62,77971296.75
1749862800,2025-06-14,1,105862.66,105863.11,105537.95,105503.76,401.88,42445070.82
1749866400,2025-06-14,2,105537.95,105670.15,105441.72,105382.85,213.85,22561109.54
1749870000,2025-06-14,3,105441.72,105500.16,105308.48,105275.3,170.78,18001605.05
1749873600,2025-06-14,4,105308.48,105470.07,105437.04,105288.62,141.42,14905109.12
1749877200,2025-06-14,5,105437.04,105467.11,105362.28,105323.78,98.91,10428410.2
1749880800,2025-06-14,6,105362.28,105393.82,105180.88,105180.88,157.46,16578599.75
1749884400,2025-06-14,7,105180.88,105205.38,105138.62,104863.51,224.21,23560795.6
1749888000,2025-06-14,8,105138.62,105190.45,105163.92,104935.73,170.4,17904531.9
1749891600,2025-06-14,9,105163.92,105178.13,104935.47,104915.77,179.1,18816728.91
1749895200,2025-06-14,10,104935.47,105169.46,105066.76,104901.23,199.61,20968023.58
1749898800,2025-06-14,11,105066.76,105162.42,105141.18,105016.83,177.08,18611407.27
1749902400,2025-06-14,12,105141.18,105158.14,105100.38,104800.05,333.45,35012792.02
1749906000,2025-06-14,13,105100.38,105185.58,105085.73,104964.7,241.34,25361402.72
1749909600,2025-06-14,14,105085.73,105136.31,104985.94,104915.92,201.33,21151069.1
1749913200,2025-06-14,15,104985.94,105052.91,104898.67,104704.18,330.83,34699881.86
1749916800,2025-06-14,16,104898.67,104975.71,104515.06,104431.37,582.24,60942982.72
1749920400,2025-06-14,17,104515.06,104777.47,104674.6,104466.46,343.9,35988811.46
1749924000,2025-06-14,18,104674.6,105042.05,104952.41,104430.77,768.18,80413758.37
1749927600,2025-06-14,19,104952.41,105096.87,104723.69,104717.21,408.73,42893125.35
1749931200,2025-06-14,20,104723.69,105058.89,104957.41,104386.29,616.34,64542045.11
1749934800,2025-06-14,21,104957.41,105531.76,105400.94,104930.6,464.89,48908909.47
1749938400,2025-06-14,22,105400.94,105555.8,105486.76,105356.86,219.1,23110228.55
1749942000,2025-06-14,23,105486.76,105544.81,105481.13,105421.02,162.77,17171239.24
