TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1748390400,2025-05-28,0,108975.95,109297.46,109250.84,108731.52,635.15,69206013.8
1748394000,2025-05-28,1,109250.84,109328.61,108720.73,108687.12,659.29,71830824.98
1748397600,2025-05-28,2,108720.73,108919.72,108671.78,108453.62,701.88,76306035.79
1748401200,2025-05-28,3,108671.78,109007.22,108914.97,108613.2,406.43,44225882.61
1748404800,2025-05-28,4,108914.97,109110.03,109023.04,108677.67,296.73,32324287.23
1748408400,2025-05-28,5,109023.04,109130.67,109043.19,108896.48,221.67,24161286.08
1748412000,2025-05-28,6,109043.19,109043.29,108766.18,108674.8,449.27,48882226.09
1748415600,2025-05-28,7,108766.18,109045.19,108863.19,108754.17,194.18,21152047.12
1748419200,2025-05-28,8,108863.19,109179.59,109084.69,108654.03,510.06,55583116.93
1748422800,2025-05-28,9,109084.69,109123.05,108838.39,108558.27,462.87,50349119.06
1748426400,2025-05-28,10,108838.39,108981.67,108876.21,108312.26,554.37,60236742.58
1748430000,2025-05-28,11,108876.21,108984.13,108913.4,108767.25,260.22,28328533.22
1748433600,2025-05-28,12,108913.4,109093.63,108936.81,108829.59,395.27,43081295.65
1748437200,2025-05-28,13,108936.81,109034.75,108095.33,108031.78,1655.11,179687187.71
1748440800,2025-05-28,14,108095.33,108291.89,107556.88,107507.9,2423.33,261340904.16
1748444400,2025-05-28,15,107556.88,107709.46,107137.91,107069.65,1321.7,141905713.92
1748448000,2025-05-28,16,107137.91,107474.94,107438.32,107137.71,993.36,106622569.85
1748451600,2025-05-28,17,107438.32,107871.89,107711.3,107396.32,909.81,97934947.96
1748455200,2025-05-28,18,107711.3,107888.31,107501.38,107421,733.36,78958452.73
1748458800,2025-05-28,19,107501.38,107819.16,106955.94,106944.93,1587.02,170370881.77
1748462400,2025-05-28,20,106955.94,107429.82,107346,106799.94,1335.43,143068597.18
1748466000,2025-05-28,21,107346,107581.97,107529.37,107204.87,505.98,54340846.21
1748469600,2025-05-28,22,107529.37,107530.05,107435.23,107182.94,416.9,44761483.18
1748473200,2025-05-28,23,107435.23,108086.7,107821.11,107435.2,981.15,105859286.27
