TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1759104000,2025-09-29,0,112226.65,112375.85,112325.81,112047.05,952.35,106857167.67
1759107600,2025-09-29,1,112325.81,112363.21,111909.43,111788.9,872.4,97803681.97
1759111200,2025-09-29,2,111909.43,112071.3,111800.64,111686.07,841.87,94146841.08
1759114800,2025-09-29,3,111800.64,111922.11,111922.11,111640.65,473.63,52932329.65
1759118400,2025-09-29,4,111922.11,111960.75,111879.15,111814.31,397.49,44471837.03
1759122000,2025-09-29,5,111879.15,111886.41,111812.21,111631.26,404.01,45139488.83
1759125600,2025-09-29,6,111812.21,111918.5,111706.41,111690.55,456.19,51004357.03
1759129200,2025-09-29,7,111706.41,111933.97,111930.56,111625.37,437.07,48844280.05
1759132800,2025-09-29,8,111930.56,112464.29,112159.02,111929.34,747.99,83910548.91
1759136400,2025-09-29,9,112159.02,112268.24,112158.22,112054.78,370.17,41516384.45
1759140000,2025-09-29,10,112158.22,112288.49,112161.7,112090.04,422.56,47397922.58
1759143600,2025-09-29,11,112161.7,112177.47,112167.01,111985.53,405.12,45407913.37
1759147200,2025-09-29,12,112167.01,112571.37,112086.77,112003.42,815.29,91507556.12
1759150800,2025-09-29,13,112086.77,113556.39,113304.9,111979.09,2390.36,269703132.34
1759154400,2025-09-29,14,113304.9,114333.01,114123.44,113290.02,2523.72,287442401.33
1759158000,2025-09-29,15,114123.44,114213.99,113896.3,113776.14,1167.69,133158214.22
1759161600,2025-09-29,16,113896.3,114148.31,113713.15,113689.54,844.21,96211803.38
1759165200,2025-09-29,17,113713.15,114252.95,114138.36,113537.54,1076.83,122682942.19
1759168800,2025-09-29,18,114138.36,114232.77,114102.72,113951.82,611.0,69705968.14
1759172400,2025-09-29,19,114102.72,114474.46,114351.79,113942.73,957.53,109368082.78
1759176000,2025-09-29,20,114351.79,114496.59,114334.16,114211.84,1114.14,127433781.44
1759179600,2025-09-29,21,114334.16,114420.02,114254.73,114169.64,426.12,48704254.5
1759183200,2025-09-29,22,114254.73,114293.91,114254.65,114091.98,357.45,40814397.84
1759186800,2025-09-29,23,114254.65,114261.34,114261.34,114254.64,1.339,153055.26
