TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1757462400,2025-09-10,0,111549.14,111571.68,111014.17,110949.81,978.74,108909414.52
1757466000,2025-09-10,1,111014.17,111225.04,111015.81,110940.58,765.2,84973819.88
1757469600,2025-09-10,2,111015.81,111557.96,111418.0,111015.79,664.31,73969562.39
1757473200,2025-09-10,3,111418.0,111586.41,111547.73,111383.37,336.5,37513341.1
1757476800,2025-09-10,4,111547.73,111657.38,111540.07,111425.39,247.95,27654380.29
1757480400,2025-09-10,5,111540.07,111718.12,111577.45,111388.78,354.74,39570861.82
1757484000,2025-09-10,6,111577.45,111968.45,111802.18,111421.41,398.77,44556121.93
1757487600,2025-09-10,7,111802.18,112593.61,112551.83,111777.63,639.25,71725762.46
1757491200,2025-09-10,8,112551.83,112852.44,112385.34,112345.96,750.43,84529067.0
1757494800,2025-09-10,9,112385.34,112435.65,112276.46,112119.91,509.4,57196222.4
1757498400,2025-09-10,10,112276.46,112431.61,112281.01,112219.4,446.28,50139347.78
1757502000,2025-09-10,11,112281.01,112408.8,112308.63,112175.44,307.95,34577676.22
1757505600,2025-09-10,12,112308.63,113539.87,113416.41,112307.13,3107.74,351562750.47
1757509200,2025-09-10,13,113416.41,114341.92,113995.46,113411.6,3690.57,420060158.19
1757512800,2025-09-10,14,113995.46,114337.24,113936.51,113842.96,2184.69,249319143.79
1757516400,2025-09-10,15,113936.51,114143.95,113892.84,113765.66,984.61,112193768.46
1757520000,2025-09-10,16,113892.84,113970.43,113796.77,113598.85,1014.65,115416379.25
1757523600,2025-09-10,17,113796.77,114116.55,113772.36,113453.76,1156.52,131555437.3
1757527200,2025-09-10,18,113772.36,113924.6,113623.15,113376.94,1223.22,138952617.53
1757530800,2025-09-10,19,113623.15,113648.88,113617.42,113192.28,1473.95,167121109.23
1757534400,2025-09-10,20,113617.42,113916.18,113622.51,113606.08,815.36,92754970.35
1757538000,2025-09-10,21,113622.51,113889.28,113878.64,113589.36,362.46,41243480.89
1757541600,2025-09-10,22,113878.64,114028.89,113916.29,113760.54,487.67,55558063.69
1757545200,2025-09-10,23,113916.29,113969.15,113964.47,113916.29,15.64,1782225.87
