TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1759276800,2025-10-01,0,114078.18,114326.56,114270.84,114004.91,856.75,97805288.46
1759280400,2025-10-01,1,114270.84,114581.33,114581.24,114177.2,1065.35,121855991.26
1759284000,2025-10-01,2,114581.24,114584.08,114303.29,114302.67,855.22,97873239.96
1759287600,2025-10-01,3,114303.29,114556.52,114217.96,114128.6,1021.89,116891601.02
1759291200,2025-10-01,4,114217.96,114733.24,114323.95,114189.29,885.25,101357810.67
1759294800,2025-10-01,5,114323.95,114768.83,114610.38,114300.52,833.84,95550304.09
1759298400,2025-10-01,6,114610.38,114660.93,114305.49,114268.16,842.83,96476952.48
1759302000,2025-10-01,7,114305.49,114646.88,114597.14,114287.08,427.99,49016585.01
1759305600,2025-10-01,8,114597.14,116597.87,116173.26,114540.84,2929.15,338459832.93
1759309200,2025-10-01,9,116173.26,116584.26,116469.53,116008.24,1240.21,144271272.12
1759312800,2025-10-01,10,116469.53,116608.22,116325.41,116257.67,701.04,81588199.04
1759316400,2025-10-01,11,116325.41,116846.77,116837.65,116321.17,559.66,65237754.68
1759320000,2025-10-01,12,116837.65,116947.73,116463.13,116414.95,1134.39,132365297.98
1759323600,2025-10-01,13,116463.13,116905.82,116873.76,116462.44,1635.54,190776103.11
1759327200,2025-10-01,14,116873.76,117509.91,117398.66,116790.42,2518.57,295273641.86
1759330800,2025-10-01,15,117398.66,117727.88,117513.12,117190.92,1190.7,139868913.24
1759334400,2025-10-01,16,117513.12,118280.37,117635.37,117410.46,2453.15,289217412.84
1759338000,2025-10-01,17,117635.37,117781.72,116844.57,116790.05,1538.83,180481770.28
1759341600,2025-10-01,18,116844.57,117411.58,117298.78,116839.03,1069.13,125229416.71
1759345200,2025-10-01,19,117298.78,117692.8,117504.04,117280.21,1059.22,124470691.95
1759348800,2025-10-01,20,117504.04,117608.76,117605.91,117240.95,734.35,86235753.51
1759352400,2025-10-01,21,117605.91,117656.34,117628.87,117409.8,306.26,36000534.55
1759356000,2025-10-01,22,117628.87,118157.15,117821.31,117626.88,818.95,96551977.62
1759359600,2025-10-01,23,117821.31,117832.46,117823.02,117815.19,6.929,816475.43
