TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1763337600,2025-11-17,0,94244.44,95356.2,95280.53,93768.96,2441.29,230939435.93
1763341200,2025-11-17,1,95280.53,95487.66,94757.72,94721.86,1637.32,155613135.81
1763344800,2025-11-17,2,94757.72,95376.25,94946.16,94705.05,1110.21,105483412.41
1763348400,2025-11-17,3,94946.16,95515.79,95468.15,94937.72,840.97,80134381.77
1763352000,2025-11-17,4,95468.15,95540.3,95084.95,94861.49,858.42,81723670.71
1763355600,2025-11-17,5,95084.95,95230.26,95105.52,94889.09,520.42,49467576.61
1763359200,2025-11-17,6,95105.52,95293.18,95246.31,94873.88,486.67,46240931.91
1763362800,2025-11-17,7,95246.31,95833.36,95618.34,95175.78,711.17,67921206.18
1763366400,2025-11-17,8,95618.34,95973.02,95586.67,95495.36,717.4,68646209.34
1763370000,2025-11-17,9,95586.67,95819.35,95618.6,95287.06,652.72,62377837.6
1763373600,2025-11-17,10,95618.6,95837.5,95613.74,95521.19,688.25,65834774.13
1763377200,2025-11-17,11,95613.74,95883.78,95525.35,95351.95,833.85,79712884.68
1763380800,2025-11-17,12,95525.35,95532.48,95279.29,95241.76,744.29,70983836.98
1763384400,2025-11-17,13,95279.29,95328.92,93912.56,93558.33,2338.14,220512832.78
1763388000,2025-11-17,14,93912.56,95967.85,94718.37,93736.27,3992.71,378424623.26
1763391600,2025-11-17,15,94718.37,94963.19,93902.53,93766.98,4115.79,387890679.83
1763395200,2025-11-17,16,93902.53,94359.0,94253.69,93019.46,3885.3,363420013.5
1763398800,2025-11-17,17,94253.69,94330.79,92718.29,92629.67,3570.9,333190576.16
1763402400,2025-11-17,18,92718.29,93150.98,92489.59,92377.78,3965.69,367458163.87
1763406000,2025-11-17,19,92489.59,92594.4,91614.43,91541.02,4154.0,382256579.91
1763409600,2025-11-17,20,91614.43,92156.26,91908.42,91244.75,4968.02,455138139.59
1763413200,2025-11-17,21,91908.42,92163.62,91874.37,91440.37,2334.43,214198283.58
1763416800,2025-11-17,22,91874.37,92329.4,92187.61,91747.83,1418.14,130522973.2
1763420400,2025-11-17,23,92187.61,92214.26,92141.25,91737.25,1323.72,121727497.17
