TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1749513600,2025-06-10,0,110302.12,110353.52,109961.66,109955.05,657.65,72447593.48
1749517200,2025-06-10,1,109961.66,110005.73,109824.72,109689.6,492.86,54145399.74
1749520800,2025-06-10,2,109824.72,109824.76,109696.51,109433.07,585.5,64183485.0
1749524400,2025-06-10,3,109696.51,109729.47,109607.77,109442.55,338.25,37049435.83
1749528000,2025-06-10,4,109607.77,109682.58,109572.47,109413.24,191.81,21007813.27
1749531600,2025-06-10,5,109572.47,109772.97,109360.16,109253.68,325.05,35584968.47
1749535200,2025-06-10,6,109360.16,109678.83,109550.24,109192.11,278.57,30479419.64
1749538800,2025-06-10,7,109550.24,109563.15,109276.06,109157.23,281.34,30766662.01
1749542400,2025-06-10,8,109276.06,109464.01,109136.29,109112.36,368.71,40282644.24
1749546000,2025-06-10,9,109136.29,109553.16,109549.63,109128.9,344.98,37719052.08
1749549600,2025-06-10,10,109549.63,109639.51,109353.09,109327.08,383.61,42002077.2
1749553200,2025-06-10,11,109353.09,109891.59,109585.09,109259.25,590.2,64729920.83
1749556800,2025-06-10,12,109585.09,109726.83,109718.12,109462.88,475.4,52093338.49
1749560400,2025-06-10,13,109718.12,109923.22,109330.42,108889.81,1301.05,142319363.63
1749564000,2025-06-10,14,109330.42,109371.04,108648.16,108507.67,1278.3,139150589.29
1749567600,2025-06-10,15,108648.16,109226.79,109044.38,108373.44,1242.18,135142321.52
1749571200,2025-06-10,16,109044.38,109281.97,108749.04,108713.13,806.19,87882811.77
1749574800,2025-06-10,17,108749.04,109078.92,108746.98,108648.94,567.62,61788351.94
1749578400,2025-06-10,18,108746.98,109490.17,109309.82,108551.32,860.98,93831170.31
1749582000,2025-06-10,19,109309.82,110403.6,109543.94,109308.21,1880.89,206602375.74
1749585600,2025-06-10,20,109543.94,110035.76,109984.78,109279.08,735.94,80628461.88
1749589200,2025-06-10,21,109984.78,110015.89,109882.41,109449.58,525.78,57718470.55
1749592800,2025-06-10,22,109882.41,110195.34,109751.15,109633.42,473.53,52067957.29
1749596400,2025-06-10,23,109751.15,110314.64,110296.2,109613.48,660.47,72628567.09
