TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1756857600,2025-09-03,0,111245.94,111784.15,111351.45,111239.59,788.58,87924231.09
1756861200,2025-09-03,1,111351.45,111414.63,111186.48,110906.58,868.19,96469939.75
1756864800,2025-09-03,2,111186.48,111492.75,111389.63,111052.6,692.74,77111012.7
1756868400,2025-09-03,3,111389.63,111414.6,111060.44,110906.66,505.84,56210178.66
1756872000,2025-09-03,4,111060.44,111164.68,111039.87,110852.69,262.27,29120304.45
1756875600,2025-09-03,5,111039.87,111081.98,110716.84,110687.32,299.08,33153658.39
1756879200,2025-09-03,6,110716.84,110896.64,110745.92,110588.72,331.17,36669120.48
1756882800,2025-09-03,7,110745.92,111124.56,111106.49,110556.54,531.07,58844422.1
1756886400,2025-09-03,8,111106.49,111289.92,111035.71,110996.82,354.1,39354157.07
1756890000,2025-09-03,9,111035.71,111330.21,111318.8,110918.04,375.24,41712412.89
1756893600,2025-09-03,10,111318.8,111496.46,111466.33,111184.06,421.4,46939280.76
1756897200,2025-09-03,11,111466.33,111725.78,111478.7,111413.58,345.09,38501568.21
1756900800,2025-09-03,12,111478.7,111886.09,111148.32,111070.33,954.68,106431188.91
1756904400,2025-09-03,13,111148.32,111928.52,111491.96,111107.94,1866.23,208086788.96
1756908000,2025-09-03,14,111491.96,112545.3,112293.52,111143.27,2809.0,314166893.0
1756911600,2025-09-03,15,112293.52,112404.38,112249.3,111934.3,1404.5,157586804.37
1756915200,2025-09-03,16,112249.3,112374.19,111892.04,111715.94,969.44,108613897.12
1756918800,2025-09-03,17,111892.04,112601.73,112340.18,111883.58,1223.43,137460832.47
1756922400,2025-09-03,18,112340.18,112561.06,112036.33,111822.44,1183.69,132837444.68
1756926000,2025-09-03,19,112036.33,112293.46,112245.42,111809.33,1040.64,116536191.06
1756929600,2025-09-03,20,112245.42,112298.05,112267.03,112103.05,494.06,55432089.55
1756933200,2025-09-03,21,112267.03,112311.29,112045.64,111811.95,448.06,50226108.55
1756936800,2025-09-03,22,112045.64,112202.72,112005.7,111891.21,384.69,43110094.16
1756940400,2025-09-03,23,112005.7,112025.38,112025.38,112005.68,3.322,372064.37
