TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1757030400,2025-09-05,0,110732.33,110943.53,110474.07,110453.67,751.31,83165107.95
1757034000,2025-09-05,1,110474.07,111153.87,111128.52,110472.14,657.19,72828713.98
1757037600,2025-09-05,2,111128.52,111495.99,111352.43,111057.45,902.68,100470024.64
1757041200,2025-09-05,3,111352.43,111352.52,111331.68,111110.88,323.29,35962115.16
1757044800,2025-09-05,4,111331.68,111482.59,111459.02,111162.05,214.08,23833528.73
1757048400,2025-09-05,5,111459.02,111732.15,111592.12,111429.83,298.95,33360203.58
1757052000,2025-09-05,6,111592.12,111918.97,111910.93,111529.57,267.91,29917191.26
1757055600,2025-09-05,7,111910.93,113009.39,112973.38,111900.31,1495.32,168346224.15
1757059200,2025-09-05,8,112973.38,112999.81,112638.92,112622.27,486.01,54824349.21
1757062800,2025-09-05,9,112638.92,112642.3,112310.22,112141.73,866.49,97321849.91
1757066400,2025-09-05,10,112310.22,112581.06,112262.52,112207.41,533.44,59930213.31
1757070000,2025-09-05,11,112262.52,112445.15,112362.53,112155.34,365.63,41060637.61
1757073600,2025-09-05,12,112362.53,113400.39,113233.13,112102.1,3486.03,393119287.49
1757077200,2025-09-05,13,113233.13,113332.94,113099.15,112730.91,2518.03,284662056.54
1757080800,2025-09-05,14,113099.15,113099.55,110576.66,110500.13,4975.24,554035018.73
1757084400,2025-09-05,15,110576.66,111033.19,110724.94,110280.98,1900.48,210336500.99
1757088000,2025-09-05,16,110724.94,110939.8,110819.7,110536.15,1129.26,125040434.12
1757091600,2025-09-05,17,110819.7,110821.28,110613.18,110217.27,1025.38,113369453.83
1757095200,2025-09-05,18,110613.18,111319.52,111220.66,110583.95,1006.91,111781755.82
1757098800,2025-09-05,19,111220.66,111646.5,111629.32,111143.93,1809.45,201509701.97
1757102400,2025-09-05,20,111629.32,111675.04,111651.69,111323.66,886.39,98824403.13
1757106000,2025-09-05,21,111651.69,111708.7,110622.91,110425.34,1677.73,186149833.15
1757109600,2025-09-05,22,110622.91,110947.0,110829.63,110528.65,406.94,45080467.29
1757113200,2025-09-05,23,110829.63,110831.02,110825.39,110812.48,6.619,733540.64
