TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1756425600,2025-08-29,0,112582.21,112646.73,112225.12,112151.58,789.69,88771874.74
1756429200,2025-08-29,1,112225.12,112286.25,111514.43,111440.48,1059.07,118323391.42
1756432800,2025-08-29,2,111514.43,111801.81,111457.23,111399.13,645.2,71994730.84
1756436400,2025-08-29,3,111457.23,111854.45,111741.71,111344.72,464.97,51902437.14
1756440000,2025-08-29,4,111741.71,111880.68,111524.75,111443.06,373.71,41736399.3
1756443600,2025-08-29,5,111524.75,111601.86,111324.38,111154.72,424.62,47287363.44
1756447200,2025-08-29,6,111324.38,111418.18,111300.91,110989.46,473.06,52585859.64
1756450800,2025-08-29,7,111300.91,111304.43,110036.5,109923.2,1265.71,139783481.37
1756454400,2025-08-29,8,110036.5,110292.87,109638.7,109628.22,1054.77,115986116.33
1756458000,2025-08-29,9,109638.7,109942.93,109792.95,109422.82,707.5,77610597.82
1756461600,2025-08-29,10,109792.95,110043.26,110025.99,109774.45,493.42,54253035.99
1756465200,2025-08-29,11,110025.99,110173.32,110124.76,109858.9,580.34,63853906.83
1756468800,2025-08-29,12,110124.76,111473.5,110746.65,110101.99,1767.96,195771591.31
1756472400,2025-08-29,13,110746.65,110797.48,109112.54,108925.01,2710.82,297519510.49
1756476000,2025-08-29,14,109112.54,109536.6,108212.66,108119.28,4500.4,489162900.09
1756479600,2025-08-29,15,108212.66,108741.33,108423.66,108206.46,1759.94,190871123.86
1756483200,2025-08-29,16,108423.66,108865.98,108740.73,108164.23,1616.48,175598288.43
1756486800,2025-08-29,17,108740.73,108761.87,108490.63,108196.27,1252.81,135880314.22
1756490400,2025-08-29,18,108490.63,108510.23,108162.83,108109.86,1214.85,131499794.54
1756494000,2025-08-29,19,108162.83,108756.1,108230.93,107954.45,1827.95,198152225.61
1756497600,2025-08-29,20,108230.93,108274.36,107803.49,107549.88,1901.5,205097877.89
1756501200,2025-08-29,21,107803.49,108486.47,108457.78,107512.41,1035.12,111755575.6
1756504800,2025-08-29,22,108457.78,108490.7,108388.5,108216.29,558.86,60548324.02
1756508400,2025-08-29,23,108388.5,108496.32,108463.19,108388.5,22.18,2405815.98
