TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1748736000,2025-06-01,0,104654.65,104706.63,104507.13,104382.81,266.88,27891610.75
1748739600,2025-06-01,1,104507.13,104561.81,104178.19,104051.7,330.29,34449416.94
1748743200,2025-06-01,2,104178.19,104375.18,104251.13,103983.02,284.02,29589459.42
1748746800,2025-06-01,3,104251.13,104513.45,104436.85,104040.82,204.95,21365144.72
1748750400,2025-06-01,4,104436.85,104786.38,104694.34,104422.22,123.9,12961073.56
1748754000,2025-06-01,5,104694.34,104763.27,104590.32,104506.97,111.39,11658044.14
1748757600,2025-06-01,6,104590.32,104590.33,104321.71,104262.49,132.07,13788692.5
1748761200,2025-06-01,7,104321.71,104432.49,104339.67,104260.18,107.03,11167332.7
1748764800,2025-06-01,8,104339.67,104448.41,104443.32,104281.27,93.59,9767195.74
1748768400,2025-06-01,9,104443.32,104521.04,103988.02,103823.88,384.15,39964485.74
1748772000,2025-06-01,10,103988.02,104095.07,103983.11,103835.09,153.89,16001629.9
1748775600,2025-06-01,11,103983.11,104200.61,104143.92,103918.14,122.16,12714487.14
1748779200,2025-06-01,12,104143.92,104248.57,104014.24,103842.15,257.06,26741911.92
1748782800,2025-06-01,13,104014.24,104472.6,104313.16,104003.8,272.06,28370420.32
1748786400,2025-06-01,14,104313.16,104819.41,104658.86,104309.97,471.03,49304764.48
1748790000,2025-06-01,15,104658.86,104859.56,104774.25,104573.45,282.86,29624335.50
1748793600,2025-06-01,16,104774.25,105362.88,105101.92,104715.64,746.01,78426922.22
1748797200,2025-06-01,17,105101.92,105250.93,105123.51,105046.58,262.38,27588360.78
1748800800,2025-06-01,18,105123.51,105133.38,104951.24,104405.19,548.62,57484449.39
1748804400,2025-06-01,19,104951.24,105207.93,105177.78,104881.56,342.36,35965386.27
1748808000,2025-06-01,20,105177.78,105355.43,105014.64,104968.24,417.28,43877234.57
1748811600,2025-06-01,21,105014.64,105560.75,105548.28,104982.94,395.1,41613940.26
1748815200,2025-06-01,22,105548.28,105799.96,105558.12,105473.6,722.54,76303480.67
1748818800,2025-06-01,23,105558.12,105924.77,105702.19,105517.79,493.16,52161560.63
