TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1758672000,2025-09-24,0,112043.66,112425.74,112270.59,111874.52,795.26,89227829.58
1758675600,2025-09-24,1,112270.59,112546.42,112485.73,112198.39,456.15,51274369.61
1758679200,2025-09-24,2,112485.73,112536.92,112163.9,111937.07,1340.63,150422151.82
1758682800,2025-09-24,3,112163.9,112260.45,111744.62,111732.98,692.3,77516118.95
1758686400,2025-09-24,4,111744.62,112414.25,112214.67,111118.7,1345.47,150411027.87
1758690000,2025-09-24,5,112214.67,112715.37,112684.42,112183.27,475.44,53466090.06
1758693600,2025-09-24,6,112684.42,112830.23,112647.24,112582.21,405.89,45740992.64
1758697200,2025-09-24,7,112647.24,112787.77,112630.38,112512.12,362.93,40882543.58
1758700800,2025-09-24,8,112630.38,112677.79,112660.06,112457.47,505.67,56914828.09
1758704400,2025-09-24,9,112660.06,112850.2,112774.57,112543.02,286.57,32290945.1
1758708000,2025-09-24,10,112774.57,112999.42,112977.49,112710.74,404.64,45660642.7
1758711600,2025-09-24,11,112977.49,113197.69,113066.08,112920.64,463.21,52370704.74
1758715200,2025-09-24,12,113066.08,113146.66,113106.37,112976.48,413.51,46748877.7
1758718800,2025-09-24,13,113106.37,113273.21,112869.18,112852.32,1107.24,125210703.78
1758722400,2025-09-24,14,112869.18,113951.9,113779.96,112868.55,1684.55,191062272.95
1758726000,2025-09-24,15,113779.96,113950.36,113410.01,113324.13,1254.16,142527097.34
1758729600,2025-09-24,16,113410.01,113805.19,113780.47,113213.49,1256.49,142641898.7
1758733200,2025-09-24,17,113780.47,114013.4,113821.1,113675.87,1065.64,121334942.68
1758736800,2025-09-24,18,113821.1,113885.3,113707.66,113574.37,779.34,88608832.65
1758740400,2025-09-24,19,113707.66,113744.59,113481.35,113346.21,568.1,64502009.22
1758744000,2025-09-24,20,113481.35,113668.17,113565.95,113460.74,538.63,61175464.54
1758747600,2025-09-24,21,113565.95,113645.39,113400.67,113357.93,294.61,33451214.49
1758751200,2025-09-24,22,113400.67,113703.52,113391.34,113321.85,571.89,64909407.32
1758754800,2025-09-24,23,113391.34,113417.18,113417.18,113390.83,3.749,425205.51
