TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1753315200,2025-07-24,0,118808.78,119183.11,119111.15,118642.46,724.71,86199999.2
1753318800,2025-07-24,1,119111.15,119164.63,119153.04,118856.79,420.59,50056844.65
1753322400,2025-07-24,2,119153.04,119153.6,119018.91,118867.78,387.94,46156843.77
1753326000,2025-07-24,3,119018.91,119328.69,118574.42,118553.35,428.32,50969489.87
1753329600,2025-07-24,4,118574.42,118652.31,118029.63,117907.93,449.84,53211208.07
1753333200,2025-07-24,5,118029.63,118032.25,117674.27,117575.75,534.11,62906884.32
1753336800,2025-07-24,6,117674.27,117928.09,117541.67,117470.1,518.79,61053974.7
1753340400,2025-07-24,7,117541.67,118533.66,118477.96,117214.42,676.42,79697571.02
1753344000,2025-07-24,8,118477.96,118863.88,118843.87,118304.37,385.41,45745660.63
1753347600,2025-07-24,9,118843.87,118889.2,118559.76,118370.47,634.2,75213191.49
1753351200,2025-07-24,10,118559.76,118713.73,118456.17,118031.16,440.04,52076930.55
1753354800,2025-07-24,11,118456.17,118797.31,118669.42,118391.83,364.15,43213303.77
1753358400,2025-07-24,12,118669.42,118792.66,118597.93,118359.87,671.27,79583351.36
1753362000,2025-07-24,13,118597.93,118785.99,118292.49,118280.73,944.41,112051563.41
1753365600,2025-07-24,14,118292.49,119198.99,119140.32,117898.69,1578.03,186911461.48
1753369200,2025-07-24,15,119140.32,119555.88,119164.39,118688.82,1511.37,180102389.33
1753372800,2025-07-24,16,119164.39,119272.97,118592.04,118433.41,1240.54,147372217.36
1753376400,2025-07-24,17,118592.04,119396.61,119202.67,118548.57,957.85,114094908.74
1753380000,2025-07-24,18,119202.67,119486.26,119123.37,119046.35,912.58,108839028.09
1753383600,2025-07-24,19,119123.37,119440.34,119028.9,118978.24,775.97,92505035.52
1753387200,2025-07-24,20,119028.9,119081.51,118781.46,118774.23,1226.37,145807636.45
1753390800,2025-07-24,21,118781.46,118849.29,118594.22,118551.42,679.22,80620125.71
1753394400,2025-07-24,22,118594.22,118701.88,118350.9,118253.16,762.6,90358025.49
1753398000,2025-07-24,23,118350.9,118371.82,118346.54,118338.52,13.99,1655443.29
